  Act_A      Act_B      Frac_A   Phase_Sep 
    10         50        40.0        0     
    10         50        50.0        0     
    10         50        60.0        0     
    10         50        70.0        0     
    10         50        80.0        0     
    10         50        90.0        0     
    10         60        10.0        1     
    10         60        20.0        1     
    10         60        30.0        0     
    10         60        40.0        0     
    10         60        50.0        0     
    10         60        60.0        0     
    10         60        70.0        0     
    10         60        80.0        0     
    10         60        90.0        0     
    10         70        10.0        1     
    10         70        20.0        1     
    10         70        30.0        1     
    10         70        40.0        0     
    10         70        50.0        0     
    10         70        60.0        0     
    10         70        70.0        0     
    10         70        80.0        0     
    10         70        90.0        0     
    10         80        10.0        1     
    10         80        20.0        1     
    10         80        30.0        1     
    10         80        40.0        1     
    10         80        50.0        0     
    10         80        60.0        0     
    10         80        70.0        0     
    10         80        80.0        0     
    10         80        90.0        0     
    10         90        10.0        1     
    10         90        20.0        1     
    10         90        30.0        1     
    10         90        40.0        1     
    10         90        50.0        1     
    10         90        60.0        0     
    10         90        70.0        0     
    10         90        80.0        0     
    10         90        90.0        0     
   110        120        10.0        1     
   110        120        20.0        1     
   110        120        30.0        1     
   110        120        40.0        1     
   110        120        50.0        1     
   110        120        60.0        1     
   110        120        70.0        1     
   110        120        80.0        1     
   110        120        90.0        1     
   110        130        10.0        1     
   110        130        20.0        1     
   110        130        30.0        1     
   110        130        40.0        1     
   110        130        50.0        1     
   110        130        60.0        1     
   110        130        70.0        1     
   110        130        80.0        1     
   110        130        90.0        1     
   110        140        10.0        1     
   110        140        20.0        1     
   110        140        30.0        1     
   110        140        40.0        1     
   110        140        50.0        1     
   110        140        60.0        1     
   110        140        70.0        1     
   110        140        80.0        1     
   110        140        90.0        1     
   110        150        10.0        1     
   110        150        20.0        1     
   110        150        30.0        1     
   110        150        40.0        1     
   110        150        50.0        1     
   110        150        60.0        1     
   110        150        70.0        1     
   110        150        80.0        1     
   110        150        90.0        1     
   120        130        10.0        1     
   120        130        20.0        1     
   120        130        30.0        1     
   120        130        40.0        1     
   120        130        50.0        1     
   120        130        60.0        1     
   120        130        70.0        1     
   120        130        80.0        1     
   120        130        90.0        1     
   120        140        10.0        1     
   120        140        20.0        1     
   120        140        30.0        1     
   120        140        40.0        1     
   120        140        50.0        1     
   120        140        60.0        1     
   120        140        70.0        1     
   120        140        80.0        1     
   120        140        90.0        1     
   120        150        10.0        1     
   120        150        20.0        1     
   120        150        30.0        1     
   120        150        40.0        1     
   120        150        50.0        1     
   120        150        60.0        1     
   120        150        70.0        1     
   120        150        80.0        1     
   120        150        90.0        1     
   130        140        10.0        1     
   130        140        20.0        1     
   130        140        30.0        1     
   130        140        40.0        1     
   130        140        50.0        1     
   130        140        60.0        1     
   130        140        70.0        1     
   130        140        80.0        1     
   130        140        90.0        1     
   130        150        10.0        1     
   130        150        20.0        1     
   130        150        30.0        1     
   130        150        40.0        1     
   130        150        50.0        1     
   130        150        60.0        1     
   130        150        70.0        1     
   130        150        80.0        1     
   130        150        90.0        1     
   140        150        10.0        1     
   140        150        20.0        1     
   140        150        30.0        1     
   140        150        40.0        1     
   140        150        50.0        1     
   140        150        60.0        1     
   140        150        70.0        1     
   140        150        80.0        1     
   140        150        90.0        1     
    20        100        10.0        1     
    20        100        20.0        1     
    20        100        30.0        1     
    20        100        40.0        1     
    20        100        50.0        1     
    20        100        60.0        0     
    20        100        70.0        0     
    20        100        80.0        0     
    20        100        90.0        0     
    20        110        10.0        1     
    20        110        20.0        1     
    20        110        30.0        1     
    20        110        40.0        1     
    20        110        50.0        1     
    20        110        60.0        1     
    20        110        70.0        0     
    20        110        80.0        0     
    20        110        90.0        0     
    20        120        10.0        1     
    20        120        20.0        1     
    20        120        30.0        1     
    20        120        40.0        1     
    20        120        50.0        1     
    20        120        60.0        1     
    20        120        70.0        0     
    20        120        80.0        0     
    20        120        90.0        0     
    20        130        10.0        1     
    20        130        20.0        1     
    20        130        30.0        1     
    20        130        40.0        1     
    20        130        50.0        1     
    20        130        60.0        1     
    20        130        70.0        1     
    20        130        80.0        0     
    20        130        90.0        0     
    20        140        10.0        1     
    20        140        20.0        1     
    20        140        30.0        1     
    20        140        40.0        1     
    20        140        50.0        1     
    20        140        60.0        1     
    20        140        70.0        1     
    20        140        80.0        0     
    20        140        90.0        0     
    20        150        10.0        1     
    20        150        20.0        1     
    20        150        30.0        1     
    20        150        40.0        1     
    20        150        50.0        1     
    20        150        60.0        1     
    20        150        70.0        1     
    20        150        80.0        0     
    20        150        90.0        0     
    20         30        10.0        0     
    20         30        20.0        0     
    20         30        30.0        0     
    20         30        40.0        0     
    20         30        50.0        0     
    20         30        60.0        0     
    20         30        70.0        0     
    20         30        80.0        0     
    20         30        90.0        0     
    20         40        10.0        0     
    20         40        20.0        0     
    20         40        30.0        0     
    20         40        40.0        0     
    20         40        50.0        0     
    20         40        60.0        0     
    20         40        70.0        0     
    20         40        80.0        0     
    20         40        90.0        0     
    20         50        10.0        1     
    20         50        20.0        0     
    20         50        30.0        0     
    20         50        40.0        0     
    20         50        50.0        0     
    20         50        60.0        0     
    20         50        70.0        0     
    20         50        80.0        0     
    20         50        90.0        0     
    20         60        10.0        1     
    20         60        20.0        1     
    20         60        30.0        1     
    20         60        40.0        0     
    20         60        50.0        0     
    20         60        60.0        0     
    20         60        70.0        0     
    20         60        80.0        0     
    20         60        90.0        0     
    20         70        10.0        1     
    20         70        20.0        1     
    20         70        30.0        1     
    20         70        40.0        0     
    20         70        50.0        0     
    20         70        60.0        0     
    20         70        70.0        0     
    20         70        80.0        0     
    20         70        90.0        0     
    20         80        10.0        1     
    20         80        20.0        1     
    20         80        30.0        1     
    20         80        40.0        1     
    20         80        50.0        0     
    20         80        60.0        0     
    20         80        70.0        0     
    20         80        80.0        0     
    20         80        90.0        0     
    20         90        10.0        1     
    20         90        20.0        1     
    20         90        30.0        1     
    20         90        40.0        1     
    20         90        50.0        1     
    20         90        60.0        0     
    20         90        70.0        0     
    20         90        80.0        0     
    20         90        90.0        0     
    30        100        10.0        1     
    30        100        20.0        1     
    30        100        30.0        1     
    30        100        40.0        1     
    30        100        50.0        1     
    30        100        60.0        1     
    30        100        70.0        0     
    30        100        80.0        0     
    30        100        90.0        0     
    30        110        10.0        1     
    30        110        20.0        1     
    30        110        30.0        1     
    30        110        40.0        1     
    30        110        50.0        1     
    30        110        60.0        1     
    30        110        70.0        1     
    30        110        80.0        0     
    30        110        90.0        0     
    30        120        10.0        1     
    30        120        20.0        1     
    30        120        30.0        1     
    30        120        40.0        1     
    30        120        50.0        1     
    30        120        60.0        1     
    30        120        70.0        0     
    30        120        80.0        0     
    30        120        90.0        0     
    30        130        10.0        1     
    30        130        20.0        1     
    30        130        30.0        1     
    30        130        40.0        1     
    30        130        50.0        1     
    30        130        60.0        1     
    30        130        70.0        1     
    30        130        80.0        0     
    30        130        90.0        0     
    30        140        10.0        1     
    30        140        20.0        1     
    30        140        30.0        1     
    30        140        40.0        1     
    30        140        50.0        1     
    30        140        60.0        1     
    30        140        70.0        1     
    30        140        80.0        0     
    30        140        90.0        0     
    30        150        10.0        1     
    30        150        20.0        1     
    30        150        30.0        1     
    30        150        40.0        1     
    30        150        50.0        1     
    30        150        60.0        1     
    30        150        70.0        1     
    30        150        80.0        0     
    30        150        90.0        0     
    30         40        10.0        0     
    30         40        20.0        0     
    30         40        30.0        0     
    30         40        40.0        0     
    30         40        50.0        0     
    30         40        60.0        0     
    30         40        70.0        0     
    30         40        80.0        0     
    30         40        90.0        0     
    30         50        10.0        1     
    30         50        20.0        1     
    30         50        30.0        0     
    30         50        40.0        0     
    30         50        50.0        0     
    30         50        60.0        0     
    30         50        70.0        0     
    30         50        80.0        0     
    30         50        90.0        0     
    30         60        10.0        1     
    30         60        20.0        1     
    30         60        30.0        1     
    30         60        40.0        1     
    30         60        50.0        0     
    30         60        60.0        0     
    30         60        70.0        0     
    30         60        80.0        0     
    30         60        90.0        0     
    30         70        10.0        1     
    30         70        20.0        1     
    30         70        30.0        1     
    30         70        40.0        1     
    30         70        50.0        1     
    30         70        60.0        0     
    30         70        70.0        0     
    30         70        80.0        0     
    30         70        90.0        0     
    30         80        10.0        1     
    30         80        20.0        1     
    30         80        30.0        1     
    30         80        40.0        1     
    30         80        50.0        1     
    30         80        60.0        0     
    30         80        70.0        0     
    30         80        80.0        0     
    30         80        90.0        0     
    30         90        10.0        1     
    30         90        20.0        1     
    30         90        30.0        1     
    30         90        40.0        1     
    30         90        50.0        1     
    30         90        60.0        1     
    30         90        70.0        0     
    30         90        80.0        0     
    30         90        90.0        0     
    40        100        10.0        1     
    40        100        20.0        1     
    40        100        30.0        1     
    40        100        40.0        1     
    40        100        50.0        1     
    40        100        60.0        1     
    40        100        70.0        1     
    40        100        80.0        1     
    40        100        90.0        0     
    40        110        10.0        1     
    40        110        20.0        1     
    40        110        30.0        1     
    40        110        40.0        1     
    40        110        50.0        1     
    40        110        60.0        1     
    40        110        70.0        1     
    40        110        80.0        1     
    40        110        90.0        0     
    40        120        10.0        1     
    40        120        20.0        1     
    40        120        30.0        1     
    40        120        40.0        1     
    40        120        50.0        1     
    40        120        60.0        1     
    40        120        70.0        1     
    40        120        80.0        0     
    40        120        90.0        0     
    40        130        10.0        1     
    40        130        20.0        1     
    40        130        30.0        1     
    40        130        40.0        1     
    40        130        50.0        1     
    40        130        60.0        1     
    40        130        70.0        1     
    40        130        80.0        0     
    40        130        90.0        0     
    40        140        10.0        1     
    40        140        20.0        1     
    40        140        30.0        1     
    40        140        40.0        1     
    40        140        50.0        1     
    40        140        60.0        1     
    40        140        70.0        1     
    40        140        80.0        1     
    40        140        90.0        0     
    40        150        10.0        1     
    40        150        20.0        1     
    40        150        30.0        1     
    40        150        40.0        1     
    40        150        50.0        1     
    40        150        60.0        1     
    40        150        70.0        1     
    40        150        80.0        1     
    40        150        90.0        0     
    40         50        10.0        1     
    40         50        20.0        1     
    40         50        30.0        1     
    40         50        40.0        1     
    40         50        50.0        0     
    40         50        60.0        0     
    40         50        70.0        0     
    40         50        80.0        0     
    40         50        90.0        0     
    40         60        10.0        1     
    40         60        20.0        1     
    40         60        30.0        1     
    40         60        40.0        1     
    40         60        50.0        1     
    40         60        60.0        1     
    40         60        70.0        1     
    40         60        80.0        0     
    40         60        90.0        0     
    40         70        10.0        1     
    40         70        20.0        1     
    40         70        30.0        1     
    40         70        40.0        1     
    40         70        50.0        1     
    40         70        60.0        1     
    40         70        70.0        1     
    40         70        80.0        0     
    40         70        90.0        0     
    40         80        10.0        1     
    40         80        20.0        1     
    40         80        30.0        1     
    40         80        40.0        1     
    40         80        50.0        1     
    40         80        60.0        1     
    40         80        70.0        1     
    40         80        80.0        1     
    40         80        90.0        0     
    40         90        10.0        1     
    40         90        20.0        1     
    40         90        30.0        1     
    40         90        40.0        1     
    40         90        50.0        1     
    40         90        60.0        1     
    40         90        70.0        1     
    40         90        80.0        0     
    40         90        90.0        0     
    50        100        10.0        1     
    50        100        20.0        1     
    50        100        30.0        1     
    50        100        40.0        1     
    50        100        50.0        1     
    50        100        60.0        1     
    50        100        70.0        1     
    50        100        80.0        1     
    50        100        90.0        1     
    50        110        10.0        1     
    50        110        20.0        1     
    50        110        30.0        1     
    50        110        40.0        1     
    50        110        50.0        1     
    50        110        60.0        1     
    50        110        70.0        1     
    50        110        80.0        1     
    50        110        90.0        1     
    50        120        10.0        1     
    50        120        20.0        1     
    50        120        30.0        1     
    50        120        40.0        1     
    50        120        50.0        1     
    50        120        60.0        1     
    50        120        70.0        1     
    50        120        80.0        1     
    50        120        90.0        1     
    50        130        10.0        1     
    50        130        20.0        1     
    50        130        30.0        1     
    50        130        40.0        1     
    50        130        50.0        1     
    50        130        60.0        1     
    50        130        70.0        1     
    50        130        80.0        1     
    50        130        90.0        1     
    50        140        10.0        1     
    50        140        20.0        1     
    50        140        30.0        1     
    50        140        40.0        1     
    50        140        50.0        1     
    50        140        60.0        1     
    50        140        70.0        1     
    50        140        80.0        1     
    50        140        90.0        1     
    50        150        10.0        1     
    50        150        20.0        1     
    50        150        30.0        1     
    50        150        40.0        1     
    50        150        50.0        1     
    50        150        60.0        1     
    50        150        70.0        1     
    50        150        80.0        1     
    50        150        90.0        1     
    50         60        10.0        1     
    50         60        20.0        1     
    50         60        30.0        1     
    50         60        40.0        1     
    50         60        50.0        1     
    50         60        60.0        1     
    50         60        70.0        1     
    50         60        80.0        1     
    50         60        90.0        1     
    50         70        10.0        1     
    50         70        20.0        1     
    50         70        30.0        1     
    50         70        40.0        1     
    50         70        50.0        1     
    50         70        60.0        1     
    50         70        70.0        1     
    50         70        80.0        1     
    50         70        90.0        1     
    50         80        10.0        1     
    50         80        20.0        1     
    50         80        30.0        1     
    50         80        40.0        1     
    50         80        50.0        1     
    50         80        60.0        1     
    50         80        70.0        1     
    50         80        80.0        1     
    50         80        90.0        1     
    50         90        10.0        1     
    50         90        20.0        1     
    50         90        30.0        1     
    50         90        40.0        1     
    50         90        50.0        1     
    50         90        60.0        1     
    50         90        70.0        1     
    50         90        80.0        1     
    50         90        90.0        1     
    60        100        10.0        1     
    60        100        20.0        1     
    60        100        30.0        1     
    60        100        40.0        1     
    60        100        50.0        1     
    60        100        60.0        1     
    60        100        70.0        1     
    60        100        80.0        1     
    60        100        90.0        1     
    60        110        10.0        1     
    60        110        20.0        1     
    60        110        30.0        1     
    60        110        40.0        1     
    60        110        50.0        1     
    60        110        60.0        1     
    60        110        70.0        1     
    60        110        80.0        1     
    60        110        90.0        1     
    60        120        10.0        1     
    60        120        20.0        1     
    60        120        30.0        1     
    60        120        40.0        1     
    60        120        50.0        1     
    60        120        60.0        1     
    60        120        70.0        1     
    60        120        80.0        1     
    60        120        90.0        1     
    60        130        10.0        1     
    60        130        20.0        1     
    60        130        30.0        1     
    60        130        40.0        1     
    60        130        50.0        1     
    60        130        60.0        1     
    60        130        70.0        1     
    60        130        80.0        1     
    60        130        90.0        1     
    60        140        10.0        1     
    60        140        20.0        1     
    60        140        30.0        1     
    60        140        40.0        1     
    60        140        50.0        1     
    60        140        60.0        1     
    60        140        70.0        1     
    60        140        80.0        1     
    60        140        90.0        1     
    60        150        10.0        1     
    60        150        20.0        1     
    60        150        30.0        1     
    60        150        40.0        1     
    60        150        50.0        1     
    60        150        60.0        1     
    60        150        70.0        1     
    60        150        80.0        1     
    60        150        90.0        1     
    60         70        10.0        1     
    60         70        20.0        1     
    60         70        30.0        1     
    60         70        40.0        1     
    60         70        50.0        1     
    60         70        60.0        1     
    60         70        70.0        1     
    60         70        80.0        1     
    60         70        90.0        1     
    60         80        10.0        1     
    60         80        20.0        1     
    60         80        30.0        1     
    60         80        40.0        1     
    60         80        50.0        1     
    60         80        60.0        1     
    60         80        70.0        1     
    60         80        80.0        1     
    60         80        90.0        1     
    60         90        10.0        1     
    60         90        20.0        1     
    60         90        30.0        1     
    60         90        40.0        1     
    60         90        50.0        1     
    60         90        60.0        1     
    60         90        70.0        1     
    60         90        80.0        1     
    60         90        90.0        1     
    70        100        10.0        1     
    70        100        20.0        1     
    70        100        30.0        1     
    70        100        40.0        1     
    70        100        50.0        1     
    70        100        60.0        1     
    70        100        70.0        1     
    70        100        80.0        1     
    70        100        90.0        1     
    70        110        10.0        1     
    70        110        20.0        1     
    70        110        30.0        1     
    70        110        40.0        1     
    70        110        50.0        1     
    70        110        60.0        1     
    70        110        70.0        1     
    70        110        80.0        1     
